,PlayStation,SNES,Genesis,Nintendo 3DS,NES,Game Boy Advance,3DO,SEGA Saturn,Nintendo 64,Game Boy,Wii,Wii U,PlayStation 4,Xbox 360,PlayStation 3,Game Gear,Dreamcast,PSP,PS Vita,Xbox,PlayStation 2,Nintendo DS,GameCube,Xbox One,Neo Geo,Neo Geo CD,Neo Geo Pocket,WonderSwan,PC-FX
33,1.0,,5.0,,1.0,,,,,,1.0,1.0,,6.0,4.0,1.0,3.0,3.0,,2.0,10.0,2.0,7.0,,,,,,
77,1.0,1.0,,,,,,,,,,2.0,,,,,,,,,1.0,,1.0,,,,,,
64,1.0,,,2.0,,,,,,,,2.0,,3.0,,1.0,,1.0,1.0,,,1.0,1.0,,,,,,
91,1.0,,,1.0,,,,,,,2.0,2.0,1.0,,,,,,,,3.0,2.0,,,,,,,
153,1.0,,,,,,,,,,,,,2.0,3.0,,,2.0,,3.0,2.0,,2.0,,,,,,
36,,1.0,1.0,,,2.0,,,1.0,,2.0,3.0,,2.0,,,2.0,3.0,,2.0,4.0,2.0,4.0,,,,,,
213,,1.0,1.0,,,1.0,,,,1.0,,1.0,,,,,,1.0,,1.0,1.0,1.0,,,,,,,
109,,,2.0,1.0,1.0,,,,,,,,,,,1.0,,,,1.0,1.0,,1.0,,,,,,
104,,,1.0,,,,,,,,,,,2.0,,,1.0,,,3.0,4.0,1.0,2.0,,,,,,
205,,,1.0,,,,,,,,2.0,,1.0,2.0,,,,1.0,,2.0,1.0,1.0,1.0,,,,,,
31,,,6.0,,,,,1.0,1.0,,1.0,,,,,,,,,2.0,1.0,1.0,2.0,,,,,,
149,,,1.0,,,1.0,,,,,,1.0,1.0,,,,,,1.0,,,2.0,,1.0,,,,,
190,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
165,,,2.0,2.0,1.0,2.0,,,,,1.0,4.0,5.0,5.0,2.0,1.0,,,1.0,2.0,3.0,,1.0,,,,,,
75,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
187,,,,14.0,,,,,1.0,,1.0,19.0,32.0,5.0,4.0,,1.0,,3.0,1.0,1.0,,,11.0,,,,,
186,,,,13.0,,,,,1.0,,1.0,16.0,25.0,5.0,3.0,,,,3.0,,,,,11.0,,,,,
221,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
185,,,,3.0,,,,,,,,4.0,19.0,3.0,4.0,,1.0,,2.0,1.0,,,,7.0,,,,,
140,,,,7.0,,2.0,,,2.0,,2.0,,2.0,1.0,1.0,,,3.0,,1.0,1.0,4.0,7.0,,,,,,
137,,,,1.0,,,,,,,,,2.0,,,,,,1.0,,,2.0,,,,,,,
107,,,,2.0,,,,,,,,1.0,,1.0,,,,2.0,,,1.0,5.0,,,,,,,
220,,,,1.0,,,,,,,,,2.0,,,,,1.0,1.0,1.0,8.0,1.0,,,,,,,
60,,,,1.0,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,
139,,,,1.0,,,,,,,2.0,1.0,,,,,,,1.0,,1.0,1.0,2.0,,,,,,
184,,,,1.0,,,,,,,,1.0,9.0,2.0,,,1.0,,,,1.0,,,,,,,,
29,,,,1.0,,,,,,,,,2.0,,2.0,,,2.0,,1.0,8.0,,1.0,,,,,,
32,,,,1.0,,,,,1.0,,,,2.0,,,,,,,,,,2.0,1.0,,,,,
122,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,
110,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
198,,,,,,1.0,,,,,,,,1.0,,,,1.0,,1.0,5.0,,,,,,,,
14,,,,,,3.0,,,,,1.0,,2.0,4.0,1.0,,,5.0,,11.0,21.0,2.0,3.0,,,,,,
215,,,,,,1.0,,,,,1.0,,,7.0,3.0,,1.0,3.0,,10.0,12.0,2.0,3.0,,,,,,
94,,,,,,1.0,,,,,3.0,1.0,1.0,,,,,,,,,4.0,1.0,1.0,,,,,
201,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,
169,,,,,,,,,,,4.0,,2.0,,,,,,,,,,1.0,,,,,,
210,,,,,,,,,,,2.0,1.0,,,,,,1.0,,,,1.0,,,,,,,
69,,,,,,,,,,,1.0,1.0,,,,,,,,,2.0,1.0,2.0,,,,,,
103,,,,,,,,,,,1.0,,,,,,,1.0,,,2.0,,,,,,,,
81,,,,,,,,,,,5.0,,,,1.0,,1.0,,,,1.0,2.0,,,,,,,
92,,,,,,,,,,,2.0,,,,,,,,,,,4.0,,,,,,,
127,,,,,,,,,,,3.0,,3.0,,,,,,,,,,,1.0,,,,,
170,,,,,,,,,,,3.0,,3.0,,3.0,,,,,1.0,7.0,,1.0,1.0,,,,,
162,,,,,,,,,,,1.0,,,2.0,,,,,,,,2.0,,,,,,,
199,,,,,,,,,,,1.0,,,,,,,1.0,,1.0,2.0,,,,,,,,
98,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,
59,,,,,,,,,,,3.0,,,,1.0,,,,,,,,,,,,,,
46,,,,,,,,,,,4.0,,,,1.0,,,,,,,3.0,,,,,,,
44,,,,,,,,,,,4.0,,,1.0,1.0,,,,,,,1.0,,,,,,,
156,,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,
214,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,
218,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
164,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,1.0,,7.0,2.0,2.0,,,,,,1.0,,,,,,,,
63,,,,,,,,,,,,2.0,,,,,,,,,1.0,2.0,1.0,,,,,,
141,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,
163,,,,,,,,,,,,1.0,5.0,,,,,,2.0,,,,,,,,,,
135,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
211,,,,,,,,,,,,1.0,,,,,,2.0,,1.0,1.0,1.0,1.0,,,,,,
68,,,,,,,,,,,,1.0,3.0,3.0,1.0,,,,,4.0,8.0,,2.0,,,,,,
219,,,,,,,,,,,,,5.0,,1.0,,2.0,2.0,,2.0,6.0,,1.0,,,,,,
160,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,
123,,,,,,,,,,,,,2.0,3.0,1.0,,,,1.0,3.0,3.0,,,,,,,,
116,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
212,,,,,,,,,,,,,1.0,1.0,1.0,,,,,4.0,2.0,,,,,,,,
119,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
181,,,,,,,,,,,,,5.0,,,,,,1.0,,,,,4.0,,,,,
178,,,,,,,,,,,,,5.0,,,,,,1.0,,,,,4.0,,,,,
180,,,,,,,,,,,,,4.0,,,,,,,,,,,4.0,,,,,
176,,,,,,,,,,,,,4.0,,,,,,,,,,,3.0,,,,,
174,,,,,,,,,,,,,4.0,,,,,,,,,,,3.0,,,,,
130,,,,,,,,,,,,,,3.0,,,,3.0,,3.0,4.0,1.0,,,,,,,
143,,,,,,,,,,,,,,1.0,,,,1.0,,2.0,2.0,1.0,1.0,,,,,,
105,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,
155,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,
152,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,
222,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
161,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,
208,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,
125,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
183,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
179,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
