,PlayStation,SNES,Genesis,Nintendo 3DS,NES,Game Boy Advance,3DO,SEGA Saturn,Nintendo 64,Game Boy,Wii,Wii U,PlayStation 4,Xbox 360,PlayStation 3,Game Gear,Dreamcast,PSP,PS Vita,Xbox,PlayStation 2,Nintendo DS,GameCube,Xbox One,Neo Geo,Neo Geo CD,Neo Geo Pocket,WonderSwan,PC-FX
39,14.0,2.0,4.0,2.0,2.0,2.0,,,1.0,3.0,11.0,4.0,4.0,5.0,12.0,4.0,5.0,,1.0,8.0,31.0,1.0,3.0,,,,,,
2,12.0,,,4.0,,,1.0,7.0,1.0,,20.0,8.0,16.0,8.0,12.0,,4.0,3.0,6.0,4.0,12.0,22.0,2.0,2.0,,,,,
38,3.0,1.0,2.0,,1.0,,,,,1.0,10.0,2.0,,4.0,2.0,1.0,2.0,,,,5.0,2.0,,,,,,,
33,5.0,,5.0,1.0,1.0,,,,1.0,1.0,5.0,1.0,1.0,4.0,2.0,1.0,2.0,,,7.0,10.0,1.0,7.0,,,,,,
194,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,5.0,,1.0,,,,,,
193,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,
189,5.0,1.0,,,,,,1.0,3.0,,1.0,,,,2.0,,,1.0,,,2.0,,2.0,,,,,,
108,2.0,,,,,,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,
41,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,5.0,1.0,2.0,8.0,5.0,,2.0,,,1.0,3.0,1.0,,2.0,,,,,
19,9.0,1.0,4.0,2.0,,2.0,,2.0,7.0,,3.0,3.0,5.0,27.0,17.0,3.0,3.0,3.0,,13.0,12.0,3.0,3.0,,,,,,
16,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,5.0,,,,,,,,1.0,,2.0,2.0,18.0,24.0,28.0,,,2.0,1.0,14.0,27.0,1.0,4.0,5.0,,,,,
93,9.0,,,2.0,,5.0,,,2.0,,4.0,,,9.0,9.0,,,2.0,,16.0,28.0,5.0,8.0,1.0,,,,,
196,3.0,,1.0,,,,,1.0,1.0,,1.0,,1.0,5.0,7.0,1.0,,,,2.0,4.0,,1.0,1.0,,,,,
52,4.0,,1.0,1.0,,4.0,,,1.0,,3.0,,,4.0,4.0,,1.0,2.0,,7.0,11.0,2.0,5.0,,,,,,
96,5.0,,1.0,1.0,1.0,4.0,,,2.0,,5.0,1.0,1.0,5.0,5.0,,3.0,,,13.0,25.0,2.0,10.0,1.0,,,,,
88,1.0,,1.0,,,,,,,,2.0,,1.0,,,,,,,1.0,2.0,1.0,1.0,,,,,,
80,2.0,1.0,1.0,,,1.0,,,1.0,,1.0,,4.0,15.0,9.0,,1.0,,,9.0,5.0,,2.0,,,,,,
56,7.0,,2.0,,,2.0,,1.0,2.0,1.0,,,3.0,8.0,14.0,,,1.0,,2.0,4.0,,1.0,1.0,,,,,
28,3.0,,,,,,,,,,,,2.0,1.0,2.0,,,,,1.0,3.0,,1.0,,,,,,
26,3.0,1.0,,3.0,,1.0,,1.0,3.0,2.0,13.0,1.0,1.0,5.0,7.0,,,2.0,,1.0,8.0,15.0,6.0,,,,,,
145,3.0,3.0,1.0,1.0,1.0,2.0,,1.0,4.0,1.0,2.0,3.0,1.0,4.0,,3.0,3.0,,,,1.0,5.0,,,,,,,
12,2.0,,,2.0,,,,,,,11.0,1.0,2.0,2.0,1.0,,,1.0,,1.0,2.0,24.0,,,,,,,
86,1.0,,,,,,,,,,,,2.0,,,,,,,,,5.0,,,,,,,
43,1.0,,,1.0,,,,1.0,1.0,,4.0,1.0,,1.0,,,,,,,,7.0,,,,,,,
89,1.0,,,,,1.0,,,,,2.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,3.0,,,,,,,,
148,6.0,1.0,,,,,1.0,3.0,1.0,,2.0,,,3.0,2.0,,2.0,,,1.0,1.0,,,,,,,,
172,2.0,,1.0,1.0,,2.0,,,,,,,1.0,3.0,3.0,,,1.0,1.0,,4.0,,,,,,,,
146,2.0,,,,,,,2.0,,,6.0,1.0,4.0,1.0,3.0,,,1.0,2.0,2.0,,5.0,,1.0,,,,,
53,3.0,1.0,1.0,,,2.0,,1.0,,,2.0,2.0,,,2.0,1.0,1.0,,,,1.0,1.0,,,,,,,
144,1.0,,,1.0,,,,,3.0,,5.0,,2.0,,4.0,,,,,1.0,18.0,1.0,5.0,,,,,,
72,4.0,,2.0,,,,,,,,4.0,2.0,3.0,4.0,6.0,,1.0,1.0,,5.0,14.0,2.0,1.0,,,,,,
74,1.0,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,4.0,,,,,,,
35,2.0,1.0,,2.0,,,,,3.0,1.0,5.0,,,4.0,5.0,2.0,,2.0,,4.0,10.0,,6.0,,,,,,
147,2.0,,1.0,13.0,,3.0,,,,,2.0,2.0,3.0,2.0,3.0,,1.0,1.0,1.0,,6.0,6.0,2.0,,,,,,
154,4.0,2.0,,2.0,1.0,,,1.0,,1.0,3.0,1.0,3.0,4.0,,,,,,,3.0,7.0,1.0,,,,,,
157,1.0,,,1.0,,5.0,,,,,,,,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,,
27,4.0,,,1.0,,3.0,,1.0,,1.0,1.0,,1.0,3.0,3.0,,,,,,1.0,8.0,,,,,,,
117,2.0,1.0,9.0,1.0,4.0,3.0,,,,2.0,10.0,2.0,2.0,6.0,4.0,3.0,1.0,,2.0,3.0,9.0,,2.0,,,,,,
166,1.0,2.0,1.0,1.0,,3.0,,,,,2.0,,10.0,18.0,17.0,,,1.0,,8.0,10.0,,3.0,2.0,,,,,
197,1.0,,1.0,,,,,,,,1.0,,4.0,6.0,6.0,,,,,5.0,9.0,1.0,4.0,1.0,,,,,
213,1.0,,1.0,,,1.0,,,,,1.0,1.0,,4.0,4.0,,,,,3.0,2.0,1.0,1.0,,,,,,
95,9.0,,,,1.0,1.0,,,3.0,1.0,10.0,2.0,,3.0,2.0,,,,,4.0,24.0,4.0,4.0,,,,,,
76,21.0,3.0,5.0,1.0,,21.0,,2.0,,1.0,6.0,4.0,35.0,36.0,41.0,,1.0,9.0,5.0,9.0,13.0,2.0,5.0,8.0,,,,,
65,2.0,2.0,3.0,,,,,2.0,3.0,,1.0,,7.0,17.0,18.0,2.0,,,1.0,6.0,9.0,1.0,1.0,1.0,,,,,
97,2.0,,,1.0,,1.0,,,1.0,,17.0,3.0,4.0,11.0,12.0,,1.0,2.0,2.0,2.0,36.0,5.0,5.0,1.0,,,,,
