,PlayStation,SNES,Genesis,Nintendo 3DS,NES,Game Boy Advance,3DO,SEGA Saturn,Nintendo 64,Game Boy,Wii,Wii U,PlayStation 4,Xbox 360,PlayStation 3,Game Gear,Dreamcast,PSP,PS Vita,Xbox,PlayStation 2,Nintendo DS,GameCube,Xbox One,Neo Geo,Neo Geo CD,Neo Geo Pocket,WonderSwan,PC-FX
4,68.0,5.0,6.0,12.0,,8.0,2.0,3.0,5.0,6.0,27.0,8.0,10.0,31.0,42.0,1.0,3.0,45.0,25.0,28.0,81.0,29.0,16.0,3.0,,,,,
143,3.0,1.0,1.0,,,,,,,1.0,2.0,,1.0,1.0,3.0,,,2.0,1.0,2.0,2.0,2.0,1.0,,,,,,
120,14.0,2.0,3.0,,1.0,4.0,,,2.0,1.0,12.0,2.0,5.0,4.0,12.0,,,2.0,6.0,6.0,12.0,4.0,2.0,,,,,,
106,36.0,3.0,7.0,24.0,,20.0,,,6.0,5.0,11.0,7.0,8.0,18.0,33.0,,6.0,32.0,24.0,7.0,49.0,31.0,13.0,,,,,,
151,11.0,2.0,2.0,4.0,1.0,1.0,1.0,,4.0,1.0,2.0,2.0,3.0,7.0,3.0,1.0,,4.0,2.0,4.0,8.0,1.0,2.0,,,,,,
223,32.0,3.0,4.0,2.0,5.0,5.0,,2.0,7.0,3.0,18.0,3.0,1.0,40.0,33.0,1.0,4.0,7.0,8.0,31.0,53.0,,12.0,,,,,,
87,3.0,,,,,,1.0,,1.0,,,,2.0,1.0,2.0,,,1.0,2.0,3.0,13.0,,1.0,,,,,,
207,5.0,1.0,1.0,2.0,,1.0,,,,1.0,1.0,,5.0,11.0,9.0,1.0,,1.0,3.0,11.0,10.0,2.0,8.0,,,,,,
200,9.0,,,5.0,,2.0,,,,,9.0,3.0,15.0,21.0,13.0,,,2.0,7.0,12.0,23.0,5.0,4.0,2.0,,,,,
40,37.0,2.0,2.0,3.0,1.0,6.0,,,,,8.0,,9.0,26.0,17.0,,2.0,19.0,5.0,20.0,55.0,5.0,5.0,5.0,,,,,
134,19.0,1.0,,1.0,,,,,,,5.0,1.0,6.0,11.0,5.0,,,3.0,1.0,3.0,6.0,,,1.0,,,,,
122,1.0,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,
165,1.0,,2.0,3.0,1.0,2.0,,1.0,,,11.0,6.0,9.0,8.0,7.0,1.0,,,3.0,4.0,6.0,2.0,2.0,1.0,,,,,
56,14.0,2.0,4.0,,,3.0,,1.0,2.0,2.0,3.0,,1.0,10.0,9.0,,,2.0,2.0,3.0,9.0,1.0,,,,,,,
66,26.0,2.0,4.0,2.0,1.0,,2.0,1.0,,,2.0,,2.0,2.0,6.0,,4.0,3.0,4.0,14.0,20.0,,6.0,,,,,,
48,85.0,9.0,12.0,6.0,1.0,21.0,,4.0,9.0,5.0,35.0,7.0,9.0,33.0,42.0,7.0,16.0,25.0,13.0,50.0,135.0,8.0,22.0,1.0,,,1.0,,
39,24.0,2.0,5.0,3.0,1.0,8.0,,1.0,3.0,2.0,17.0,4.0,3.0,6.0,11.0,4.0,5.0,5.0,4.0,12.0,43.0,3.0,4.0,,,,1.0,,
133,24.0,5.0,7.0,22.0,3.0,19.0,1.0,1.0,1.0,19.0,37.0,7.0,6.0,17.0,22.0,7.0,3.0,15.0,19.0,4.0,14.0,26.0,3.0,1.0,,,,,
137,4.0,1.0,,1.0,,,,,,,,,3.0,1.0,2.0,,,2.0,1.0,,,,,1.0,,,,,
141,1.0,,,,,2.0,,,,1.0,3.0,1.0,,,,,,1.0,,,,1.0,,,,,,,
