,PlayStation,SNES,Genesis,Nintendo 3DS,NES,Game Boy Advance,3DO,SEGA Saturn,Nintendo 64,Game Boy,Wii,Wii U,PlayStation 4,Xbox 360,PlayStation 3,Game Gear,Dreamcast,PSP,PS Vita,Xbox,PlayStation 2,Nintendo DS,GameCube,Xbox One,Neo Geo,Neo Geo CD,Neo Geo Pocket,WonderSwan,PC-FX
224,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
204,,,,,,,,,,,,,2.0,,,,,,,,,1.0,,1.0,,,,,
178,,,,,,,,,,,,,9.0,1.0,1.0,,,,,,,,,7.0,,,,,
171,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
180,,,,,,,,,,,,,10.0,,,,,,,,,,,7.0,,,,,
193,,,,,,,,,,,,,3.0,,,,,,,2.0,3.0,,1.0,1.0,,,,,
181,,,,,,,,,,,,,7.0,,,,,,1.0,,,,,6.0,,,,,
176,,,,,,,,,,,,,2.0,,,,,,,,,,,4.0,,,,,
174,,,,,,,,,,,,,6.0,,,,,,,,,,,3.0,,,,,
182,,,,,,,,,,,,,2.0,,,,,,1.0,,,,,1.0,,,,,
179,,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,,,,,
177,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,
136,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
